team1,team2,team1_win_rate,team2_win_rate,team1_recent_form,team2_recent_form,head_to_head_advantage,toss_advantage,target
Chennai Super Kings,Kolkata Knight Riders,0.431,0.478,0.5,0.5,1,0,0
Mumbai Indians,Delhi Capitals,0.405,0.451,0.5,0.5,2,0,0
Royal Challengers Bengaluru,Punjab Kings,0.592,0.473,0.5,0.5,4,0,0
Lucknow Super Giants,Gujarat Titans,0.472,0.61,0.5,0.5,-2,0,0
Rajasthan Royals,Sunrisers Hyderabad,0.513,0.466,0.5,0.5,-3,0,1
Kolkata Knight Riders,Royal Challengers Bengaluru,0.478,0.592,1.0,0.0,1,0,0
Chennai Super Kings,Lucknow Super Giants,0.431,0.472,0.0,0.0,-1,0,0
Punjab Kings,Kolkata Knight Riders,0.473,0.478,1.0,0.5,1,0,0
Rajasthan Royals,Mumbai Indians,0.513,0.405,1.0,0.0,2,0,1
Gujarat Titans,Delhi Capitals,0.61,0.451,1.0,1.0,2,0,1
Punjab Kings,Chennai Super Kings,0.473,0.431,0.5,0.0,6,0,1
Lucknow Super Giants,Sunrisers Hyderabad,0.472,0.466,0.5,0.0,3,0,1
Rajasthan Royals,Royal Challengers Bengaluru,0.513,0.592,1.0,0.5,0,0,0
Mumbai Indians,Kolkata Knight Riders,0.405,0.478,0.0,0.667,-2,0,0
Delhi Capitals,Lucknow Super Giants,0.451,0.472,0.5,0.667,2,0,0
Punjab Kings,Gujarat Titans,0.473,0.61,0.667,1.0,0,0,0
Chennai Super Kings,Sunrisers Hyderabad,0.431,0.466,0.0,0.0,-2,0,0
Mumbai Indians,Royal Challengers Bengaluru,0.405,0.592,0.0,0.667,-3,0,0
Delhi Capitals,Kolkata Knight Riders,0.451,0.478,0.333,0.75,0,0,1
Rajasthan Royals,Lucknow Super Giants,0.513,0.472,0.667,0.75,4,0,1
Gujarat Titans,Sunrisers Hyderabad,0.61,0.466,1.0,0.333,5,0,0
Chennai Super Kings,Royal Challengers Bengaluru,0.431,0.592,0.0,0.75,-2,0,1
Punjab Kings,Mumbai Indians,0.473,0.405,0.5,0.0,2,0,1
Gujarat Titans,Rajasthan Royals,0.61,0.513,0.75,0.75,5,0,1
Kolkata Knight Riders,Sunrisers Hyderabad,0.478,0.466,0.6,0.5,3,0,0
Lucknow Super Giants,Mumbai Indians,0.472,0.405,0.6,0.0,3,0,1
Royal Challengers Bengaluru,Delhi Capitals,0.592,0.451,0.6,0.5,2,0,1
Punjab Kings,Sunrisers Hyderabad,0.473,0.466,0.6,0.6,-4,0,0
Chennai Super Kings,Gujarat Titans,0.431,0.61,0.2,0.8,-2,0,0
Rajasthan Royals,Kolkata Knight Riders,0.513,0.478,0.6,0.4,-1,0,1
Royal Challengers Bengaluru,Lucknow Super Giants,0.592,0.472,0.8,0.8,2,0,1
Punjab Kings,Delhi Capitals,0.473,0.451,0.4,0.4,-2,0,0
Mumbai Indians,Chennai Super Kings,0.405,0.431,0.0,0.2,-5,0,0
Rajasthan Royals,Delhi Capitals,0.513,0.451,0.6,0.4,-1,0,1
Gujarat Titans,Kolkata Knight Riders,0.61,0.478,0.8,0.4,2,1,1
Royal Challengers Bengaluru,Sunrisers Hyderabad,0.592,0.466,0.8,0.8,0,0,0
Lucknow Super Giants,Mumbai Indians,0.472,0.405,0.6,0.0,3,0,1
Punjab Kings,Chennai Super Kings,0.473,0.431,0.4,0.4,6,0,1
Rajasthan Royals,Royal Challengers Bengaluru,0.513,0.592,0.6,0.6,0,0,1
Sunrisers Hyderabad,Gujarat Titans,0.466,0.61,1.0,0.8,-5,0,0
Kolkata Knight Riders,Delhi Capitals,0.478,0.451,0.2,0.4,0,0,0
Lucknow Super Giants,Punjab Kings,0.472,0.473,0.6,0.4,-2,0,1
Royal Challengers Bengaluru,Gujarat Titans,0.592,0.61,0.4,0.8,2,1,0
Rajasthan Royals,Mumbai Indians,0.513,0.405,0.8,0.0,2,0,0
Chennai Super Kings,Sunrisers Hyderabad,0.431,0.466,0.4,0.8,-2,0,1
Lucknow Super Giants,Delhi Capitals,0.472,0.451,0.6,0.6,-2,1,1
Rajasthan Royals,Kolkata Knight Riders,0.513,0.478,0.6,0.0,-1,0,0
Gujarat Titans,Punjab Kings,0.61,0.473,1.0,0.4,0,1,0
Royal Challengers Bengaluru,Chennai Super Kings,0.592,0.431,0.4,0.6,2,0,1
Delhi Capitals,Sunrisers Hyderabad,0.451,0.466,0.4,0.6,0,0,1
Mumbai Indians,Gujarat Titans,0.405,0.61,0.2,0.8,-1,0,1
Punjab Kings,Rajasthan Royals,0.473,0.513,0.4,0.6,-2,1,0
Lucknow Super Giants,Kolkata Knight Riders,0.472,0.478,0.8,0.2,3,0,1
Royal Challengers Bengaluru,Sunrisers Hyderabad,0.592,0.466,0.4,0.4,0,1,1
Chennai Super Kings,Delhi Capitals,0.431,0.451,0.4,0.6,3,0,1
Kolkata Knight Riders,Mumbai Indians,0.478,0.405,0.2,0.4,2,0,1
Gujarat Titans,Lucknow Super Giants,0.61,0.472,0.6,0.8,2,1,1
Rajasthan Royals,Delhi Capitals,0.513,0.451,0.6,0.4,-1,0,0
Chennai Super Kings,Mumbai Indians,0.431,0.405,0.6,0.4,5,0,0
Punjab Kings,Royal Challengers Bengaluru,0.473,0.592,0.4,0.4,-4,0,1
Kolkata Knight Riders,Sunrisers Hyderabad,0.478,0.466,0.4,0.2,3,1,1
Chennai Super Kings,Gujarat Titans,0.431,0.61,0.4,0.6,-2,1,0
Rajasthan Royals,Lucknow Super Giants,0.513,0.472,0.4,0.8,4,1,1
Delhi Capitals,Punjab Kings,0.451,0.473,0.6,0.6,2,0,1
Sunrisers Hyderabad,Mumbai Indians,0.466,0.405,0.0,0.6,-2,0,1
Lucknow Super Giants,Kolkata Knight Riders,0.472,0.478,0.6,0.6,3,1,1
Gujarat Titans,Royal Challengers Bengaluru,0.61,0.592,0.6,0.4,-2,1,0
Chennai Super Kings,Rajasthan Royals,0.431,0.513,0.4,0.4,-5,1,0
Delhi Capitals,Mumbai Indians,0.451,0.405,0.6,0.6,-2,0,0
Sunrisers Hyderabad,Punjab Kings,0.466,0.473,0.2,0.4,4,1,0
Rajasthan Royals,Gujarat Titans,0.513,0.61,0.6,0.4,-5,0,0
Royal Challengers Bengaluru,Lucknow Super Giants,0.592,0.472,0.6,0.6,2,0,1
Royal Challengers Bengaluru,Rajasthan Royals,0.592,0.513,0.8,0.6,0,0,0
Rajasthan Royals,Gujarat Titans,0.513,0.61,0.6,0.6,-5,1,0
Chennai Super Kings,Gujarat Titans,0.431,0.61,0.2,0.8,-2,0,0
Punjab Kings,Kolkata Knight Riders,0.473,0.478,0.6,0.6,1,0,1
Lucknow Super Giants,Delhi Capitals,0.472,0.451,0.4,0.6,-2,0,1
Mumbai Indians,Royal Challengers Bengaluru,0.405,0.592,0.6,0.6,-3,0,0
Rajasthan Royals,Sunrisers Hyderabad,0.513,0.466,0.6,0.2,-3,0,1
Chennai Super Kings,Lucknow Super Giants,0.431,0.472,0.2,0.4,-1,0,1
Delhi Capitals,Gujarat Titans,0.451,0.61,0.4,0.8,-2,0,0
Punjab Kings,Rajasthan Royals,0.473,0.513,0.6,0.6,-2,0,1
Kolkata Knight Riders,Royal Challengers Bengaluru,0.478,0.592,0.4,0.6,1,0,1
Sunrisers Hyderabad,Lucknow Super Giants,0.466,0.472,0.2,0.4,-3,1,0
Rajasthan Royals,Delhi Capitals,0.513,0.451,0.4,0.4,-1,0,1
Mumbai Indians,Chennai Super Kings,0.405,0.431,0.4,0.2,-5,0,0
Punjab Kings,Sunrisers Hyderabad,0.473,0.466,0.8,0.2,-4,0,0
Gujarat Titans,Kolkata Knight Riders,0.61,0.478,0.8,0.6,2,1,0
Royal Challengers Bengaluru,Lucknow Super Giants,0.592,0.472,0.6,0.6,2,0,0
Delhi Capitals,Mumbai Indians,0.451,0.405,0.2,0.4,-2,0,0
Rajasthan Royals,Chennai Super Kings,0.513,0.431,0.6,0.4,5,0,1
Punjab Kings,Gujarat Titans,0.473,0.61,0.6,0.8,0,0,0
Sunrisers Hyderabad,Kolkata Knight Riders,0.466,0.478,0.4,0.6,-3,0,1
Royal Challengers Bengaluru,Delhi Capitals,0.592,0.451,0.4,0.0,2,0,1
Lucknow Super Giants,Punjab Kings,0.472,0.473,0.6,0.6,-2,0,0
Kolkata Knight Riders,Mumbai Indians,0.478,0.405,0.4,0.4,2,0,0
Gujarat Titans,Rajasthan Royals,0.61,0.513,0.8,0.6,5,0,0
Chennai Super Kings,Royal Challengers Bengaluru,0.431,0.592,0.4,0.4,-2,0,1
Mumbai Indians,Sunrisers Hyderabad,0.405,0.466,0.6,0.4,2,0,1
Lucknow Super Giants,Rajasthan Royals,0.472,0.513,0.6,0.8,-4,0,1
Royal Challengers Bengaluru,Punjab Kings,0.592,0.473,0.4,0.6,4,0,1
Kolkata Knight Riders,Delhi Capitals,0.478,0.451,0.4,0.0,0,0,0
Sunrisers Hyderabad,Chennai Super Kings,0.466,0.431,0.4,0.6,2,0,0
Punjab Kings,Mumbai Indians,0.473,0.405,0.4,0.6,2,0,1
Gujarat Titans,Lucknow Super Giants,0.61,0.472,0.6,0.6,2,1,1
Royal Challengers Bengaluru,Rajasthan Royals,0.592,0.513,0.4,0.6,0,0,1
Chennai Super Kings,Kolkata Knight Riders,0.431,0.478,0.8,0.4,1,0,1
Delhi Capitals,Sunrisers Hyderabad,0.451,0.466,0.2,0.4,0,1,1
Gujarat Titans,Mumbai Indians,0.61,0.405,0.6,0.6,1,0,1
Kolkata Knight Riders,Royal Challengers Bengaluru,0.478,0.592,0.2,0.6,1,0,1
Rajasthan Royals,Chennai Super Kings,0.513,0.431,0.6,0.8,5,1,1
Lucknow Super Giants,Punjab Kings,0.472,0.473,0.6,0.4,-2,0,1
Kolkata Knight Riders,Gujarat Titans,0.478,0.61,0.2,0.6,-2,0,0
Sunrisers Hyderabad,Delhi Capitals,0.466,0.451,0.4,0.4,0,1,1
Rajasthan Royals,Mumbai Indians,0.513,0.405,0.6,0.6,2,1,0
Chennai Super Kings,Punjab Kings,0.431,0.473,0.6,0.4,-6,1,0
Royal Challengers Bengaluru,Lucknow Super Giants,0.592,0.472,0.6,0.6,2,1,1
Delhi Capitals,Gujarat Titans,0.451,0.61,0.4,0.8,-2,1,1
Lucknow Super Giants,Chennai Super Kings,0.472,0.431,0.4,0.6,1,0,0
Punjab Kings,Mumbai Indians,0.473,0.405,0.6,0.6,2,0,0
Kolkata Knight Riders,Sunrisers Hyderabad,0.478,0.466,0.2,0.4,3,1,1
Rajasthan Royals,Gujarat Titans,0.513,0.61,0.4,0.6,-5,1,0
Mumbai Indians,Chennai Super Kings,0.405,0.431,0.6,0.4,-5,0,0
Royal Challengers Bengaluru,Delhi Capitals,0.592,0.451,0.6,0.6,2,1,0
Gujarat Titans,Lucknow Super Giants,0.61,0.472,0.8,0.4,2,0,1
Rajasthan Royals,Sunrisers Hyderabad,0.513,0.466,0.2,0.2,-3,1,0
Punjab Kings,Kolkata Knight Riders,0.473,0.478,0.4,0.4,1,1,0
Royal Challengers Bengaluru,Mumbai Indians,0.592,0.405,0.6,0.4,3,0,0
Chennai Super Kings,Delhi Capitals,0.431,0.451,0.4,0.8,3,1,1
Kolkata Knight Riders,Rajasthan Royals,0.478,0.513,0.6,0.2,1,0,0
Mumbai Indians,Gujarat Titans,0.405,0.61,0.6,0.8,-1,0,1
Sunrisers Hyderabad,Lucknow Super Giants,0.466,0.472,0.4,0.2,-3,1,0
Punjab Kings,Delhi Capitals,0.473,0.451,0.4,0.6,-2,0,1
Royal Challengers Bengaluru,Rajasthan Royals,0.592,0.513,0.4,0.4,0,1,1
Chennai Super Kings,Kolkata Knight Riders,0.431,0.478,0.4,0.6,1,1,0
Gujarat Titans,Sunrisers Hyderabad,0.61,0.466,0.6,0.4,5,0,1
Lucknow Super Giants,Mumbai Indians,0.472,0.405,0.4,0.8,3,0,1
Delhi Capitals,Punjab Kings,0.451,0.473,0.4,0.4,2,0,1
Sunrisers Hyderabad,Royal Challengers Bengaluru,0.466,0.592,0.4,0.4,0,0,0
Punjab Kings,Rajasthan Royals,0.473,0.513,0.4,0.2,-2,0,0
Chennai Super Kings,Delhi Capitals,0.431,0.451,0.4,0.6,3,1,1
Lucknow Super Giants,Kolkata Knight Riders,0.472,0.478,0.4,0.6,3,0,1
Sunrisers Hyderabad,Mumbai Indians,0.466,0.405,0.2,0.6,-2,0,0
Royal Challengers Bengaluru,Gujarat Titans,0.592,0.61,0.6,0.6,2,0,0
Chennai Super Kings,Gujarat Titans,0.431,0.61,0.6,0.8,-2,0,1
Mumbai Indians,Lucknow Super Giants,0.405,0.472,0.6,0.6,-3,1,1
Gujarat Titans,Mumbai Indians,0.61,0.405,0.6,0.8,1,0,1
Gujarat Titans,Chennai Super Kings,0.61,0.431,0.6,0.8,2,0,0
Royal Challengers Bengaluru,Chennai Super Kings,0.592,0.431,0.4,0.8,2,1,0
Delhi Capitals,Punjab Kings,0.451,0.473,0.4,0.2,2,0,0
Kolkata Knight Riders,Sunrisers Hyderabad,0.478,0.466,0.6,0.2,3,0,1
Rajasthan Royals,Lucknow Super Giants,0.513,0.472,0.4,0.6,4,1,1
Gujarat Titans,Mumbai Indians,0.61,0.405,0.6,0.6,1,0,1
Punjab Kings,Royal Challengers Bengaluru,0.473,0.592,0.4,0.4,-4,0,0
Chennai Super Kings,Gujarat Titans,0.431,0.61,0.8,0.6,-2,0,1
Sunrisers Hyderabad,Mumbai Indians,0.466,0.405,0.0,0.4,-2,0,1
Rajasthan Royals,Delhi Capitals,0.513,0.451,0.6,0.2,-1,0,1
Royal Challengers Bengaluru,Kolkata Knight Riders,0.592,0.478,0.6,0.6,-1,0,0
Lucknow Super Giants,Punjab Kings,0.472,0.473,0.6,0.4,-2,1,1
Delhi Capitals,Chennai Super Kings,0.451,0.431,0.2,1.0,-3,1,1
Sunrisers Hyderabad,Gujarat Titans,0.466,0.61,0.2,0.4,-5,1,0
Mumbai Indians,Rajasthan Royals,0.405,0.513,0.4,0.8,-2,0,0
Lucknow Super Giants,Royal Challengers Bengaluru,0.472,0.592,0.6,0.4,-2,0,1
Kolkata Knight Riders,Delhi Capitals,0.478,0.451,0.6,0.4,0,1,1
Gujarat Titans,Punjab Kings,0.61,0.473,0.6,0.2,0,0,0
Chennai Super Kings,Sunrisers Hyderabad,0.431,0.466,0.8,0.2,-2,0,0
Royal Challengers Bengaluru,Rajasthan Royals,0.592,0.513,0.2,0.8,0,0,0
Mumbai Indians,Delhi Capitals,0.405,0.451,0.2,0.2,2,0,1
Lucknow Super Giants,Gujarat Titans,0.472,0.61,0.6,0.4,-2,1,1
Kolkata Knight Riders,Chennai Super Kings,0.478,0.431,0.8,0.6,-1,0,0
Sunrisers Hyderabad,Punjab Kings,0.466,0.473,0.4,0.4,4,0,1
Rajasthan Royals,Gujarat Titans,0.513,0.61,1.0,0.4,-5,0,0
Royal Challengers Bengaluru,Mumbai Indians,0.592,0.405,0.2,0.2,3,0,0
Lucknow Super Giants,Delhi Capitals,0.472,0.451,0.6,0.2,-2,1,0
Punjab Kings,Rajasthan Royals,0.473,0.513,0.4,0.8,-2,0,0
Lucknow Super Giants,Kolkata Knight Riders,0.472,0.478,0.6,0.6,3,0,0
Chennai Super Kings,Mumbai Indians,0.431,0.405,0.6,0.4,5,0,1
Sunrisers Hyderabad,Royal Challengers Bengaluru,0.466,0.592,0.6,0.2,0,0,1
Kolkata Knight Riders,Rajasthan Royals,0.478,0.513,0.8,0.8,1,0,0
Gujarat Titans,Delhi Capitals,0.61,0.451,0.4,0.4,2,0,0
Mumbai Indians,Punjab Kings,0.405,0.473,0.4,0.2,-2,0,1
Chennai Super Kings,Lucknow Super Giants,0.431,0.472,0.6,0.6,-1,0,0
